gene,p-value,parental difference (B6-DBA)
Affy_10338500,0.38354659,0.526
Affy_10338501,0.87894404,0.04
Affy_10338502,0.085919702,-0.962
Affy_10338503,0.17649999,0.458
Affy_10338504,0.4596985,-0.184
Affy_10338505,0.39378232,-0.303
Affy_10338506,0.7389556,-0.15
Affy_10338507,0.99266112,-0.005
Affy_10338508,0.021186197,-0.947
Affy_10338509,0.55953398,0.248
Affy_10338510,0.71418535,0.11
Affy_10338511,0.69327904,-0.167
Anapc1,0.48792362,0.43
Affy_10338513,0.93292914,-0.031
Affy_10338514,0.95353414,0.016
Affy_10338515,0.74723427,-0.071
Affy_10338516,0.6768977,0.164
Affy_10338517,0.64934591,0.158
Affy_10338518,0.68763681,0.212
Affy_10338519,0.60115696,0.366
Affy_10338520,0.35054558,-0.582
Affy_10338521,0.79697998,0.096
Affy_10338522,0.74124667,-0.089
Affy_10338523,0.39048818,0.588
Affy_10338524,0.53766352,0.134
Affy_10338525,0.92691325,0.039
Affy_10338526,0.73971145,-0.122
Affy_10338527,0.24434641,-0.793
Affy_10338528,0.51199361,-0.204
Affy_10338529,0.21986349,-0.31
Affy_10338530,0.69754853,-0.092
Affy_10338531,0.5371774,-0.158
Affy_10338532,0.49896646,-0.295
Affy_10338533,0.91026869,-0.069
Affy_10338534,0.63608735,0.248
Affy_10338535,0.50617245,0.298
Affy_10338536,0.40849697,-0.448
Vta1,0.30900548,0.94
Affy_10338538,0.89829022,0.049
Affy_10338539,0.59954375,-0.279
Affy_10338540,0.25683186,-0.225
Affy_10338541,0.40583939,0.328
Affy_10338542,0.78516843,-0.136
Affy_10338543,0.79645958,-0.086
Affy_10338544,0.97527224,-0.007
Affy_10338545,0.97573812,0.017
Affy_10338546,0.73371151,0.249
Affy_10338547,0.44571469,0.28
Affy_10338548,0.89988808,-0.045
Affy_10338549,0.49176967,0.24
Affy_10338550,0.99616679,0.002
Affy_10338551,0.34251773,-0.5
Affy_10338552,0.14372708,-0.658
Affy_10338553,0.90303441,-0.07
Affy_10338554,0.67393937,0.157
Affy_10338555,0.33110875,-0.517
Affy_10338556,0.88522786,0.032
Affy_10338557,0.34253583,0.461
Affy_10338558,0.94838389,-0.015
Affy_10338559,0.56080795,-0.225
Affy_10338560,0.66721145,0.218
Affy_10338561,0.54664671,-0.216
Affy_10338562,0.63345082,0.228
Affy_10338563,0.15646453,0.88
Affy_10338564,0.58173196,-0.195
Affy_10338565,0.83117616,0.059
Affy_10338566,0.51145162,-0.288
Affy_10338567,0.8076921,0.082
Affy_10338568,0.67741411,-0.162
Affy_10338569,0.48815687,0.397
Affy_10338570,0.88479855,-0.068
Affy_10338571,0.066651833,-0.681
Affy_10338572,0.47873917,0.318
Affy_10338573,0.26337326,-0.614
Affy_10338574,0.59702474,-0.235
Affy_10338575,0.30987251,-0.477
Affy_10338576,0.90886682,0.078
Affy_10338577,0.18861271,1.005
Affy_10338578,0.68001286,-0.124
Affy_10338579,0.63640791,0.225
Affy_10338580,0.5560372,0.21
Affy_10338581,0.36733226,0.698
Affy_10338582,0.63929632,-0.291
Affy_10338583,0.49949642,0.205
Affy_10338584,0.16152958,-0.691
Psap,0.92302321,-0.024
Affy_10338586,0.89622673,0.094
Affy_10338587,0.71706781,0.146
Affy_10338588,0.94138698,-0.03
Affy_10338589,0.87293741,-0.17
Affy_10338590,0.10741317,1.081
Affy_10338591,0.78070397,-0.134
Affy_10338592,0.22895826,-0.27
Affy_10338593,0.85162592,0.092
Affy_10338594,0.93589494,0.033
Affy_10338595,0.27286501,-0.43
Affy_10338596,0.55269179,-0.25
Affy_10338597,0.96883955,0.018
Affy_10338598,0.13929192,1.158
Affy_10338599,0.19903612,0.559
Affy_10338600,0.74557881,0.186
Fryl,0.3630389,0.267
Affy_10338602,0.18347938,0.728
Affy_10338603,0.56925189,-0.24
Affy_10338604,0.20349328,-0.247
Affy_10338605,0.071640078,-0.497
Affy_10338606,0.7411746,0.178
Affy_10338607,0.40514537,0.46
Affy_10338608,0.80044876,0.095
Affy_10338609,0.1630784,0.452
Affy_10338610,0.090064621,0.958
Affy_10338611,0.64357297,0.184
Affy_10338612,0.45982469,0.401
Affy_10338613,0.27536545,0.728
Affy_10338614,0.3576143,0.328
Affy_10338615,0.44482316,0.414
Affy_10338616,0.45536494,0.366
Affy_10338617,0.88464193,0.102
Affy_10338618,0.36646676,0.547
Affy_10338619,0.81728069,0.09
Affy_10338620,0.58610979,0.204
Affy_10338621,0.81545478,-0.099
Affy_10338622,0.74330085,0.164
Affy_10338623,0.82220234,-0.125
Affy_10338624,0.7321317,-0.22
Affy_10338625,0.78372352,0.158
Affy_10338626,0.88899383,-0.079
Affy_10338627,0.63766967,0.125
Affy_10338628,0.78883214,-0.151
Affy_10338629,0.97789962,-0.011
Affy_10338630,0.92347843,0.029
Affy_10338631,0.21465817,0.614
Affy_10338632,0.3221642,-0.414
Affy_10338633,0.8821481,0.072
Affy_10338634,0.43283536,-0.356
Affy_10338635,0.96937333,0.02
Affy_10338636,0.66633559,0.268
Affy_10338637,0.27215048,-0.51
Affy_10338638,0.58430067,-0.249
Golga7,0.50286651,0.343
Affy_10338640,0.41066793,0.78
Affy_10338641,0.11564458,-0.45
Affy_10338642,0.8745764,-0.047
Affy_10338643,0.60843496,-0.272
Affy_10338644,0.93728581,0.036
Affy_10338645,0.29067168,0.477
Affy_10338646,0.95329261,0.048
Affy_10338647,0.68700637,-0.174
Affy_10338648,0.50466976,-0.262
Affy_10338649,0.71405536,0.13
Affy_10338650,0.70125609,0.169
Affy_10338651,0.53661512,-0.184
Affy_10338652,0.11527139,0.846
Affy_10338653,0.56503548,-0.324
Affy_10338654,0.6714009,-0.083
Affy_10338655,0.91283865,-0.054
Affy_10338656,0.083945458,-0.726
Affy_10338657,0.32052564,-0.48
Affy_10338658,0.49132038,-0.37
Affy_10338659,0.97659645,-0.008
Affy_10338660,0.90858389,-0.064
Affy_10338661,0.3651214,-0.746
Affy_10338662,0.59521097,0.21
Affy_10338663,0.88880863,0.055
Affy_10338664,0.70893971,-0.108
Affy_10338665,0.49417896,0.332
Affy_10338666,0.45250342,-0.296
Affy_10338667,0.73866435,0.29
Affy_10338668,0.97016587,-0.013
Affy_10338669,0.31273262,-0.483
Affy_10338670,0.75732445,0.163
Affy_10338671,0.74674896,-0.156
Affy_10338672,0.12777625,-0.639
Affy_10338673,0.86253168,-0.039
Xpo7,0.54620035,0.203
Affy_10338675,0.956519,0.021
Affy_10338676,0.27966278,-0.565
Affy_10338677,0.72078297,0.125
Affy_10338678,0.45304582,-0.284
Affy_10338679,0.23854839,-0.515
Affy_10338680,0.86879917,-0.057
Affy_10338681,0.82152899,0.121
Affy_10338682,0.8178395,-0.138
Affy_10338683,0.21418789,0.305
C18orf32,0.39928042,0.897
Affy_10338685,0.57165214,0.217
Affy_10338686,0.1466009,0.896
Affy_10338687,0.44762736,0.262
