target,gene,p-value,parental difference (B6-DBA)
1432704_at,5730405A17Rik,0.5941831,-0.0856
1432705_at,Syt1,0.13440728,0.8032
1432706_at,5330428N10Rik,0.99365791,0.001
1432707_at,Phgdh,0.71428011,0.07
1432708_at,1700108E19Rik,0.71574229,-0.0606
1432709_at,4930505O19Rik,0.56322599,-0.0966
1432710_at,4930505O19Rik,0.90585668,-0.0214
1432711_at,4933425M03Rik,0.9216811,-0.02
1432712_at,4732486J07Rik,0.76528338,-0.0606
1432713_at,Syt1,0.62209297,-0.0998
1432714_at,6430709C05Rik,0.91146203,0.028
1432715_at,Lrrn1,0.4826442,0.1418
1432716_at,2810047E21Rik,0.95978853,-0.0092
1432717_at,Glcci1,0.97968152,0.0032
1432718_at,1810015A16Rik,0.88274541,-0.0304
1432719_at,Farslb,0.54701769,0.1714
1432720_at,4833412K13Rik,0.61014909,0.0998
1432721_at,Rgs6,0.81739567,0.0494
1432722_at,4933408K01Rik,0.81585289,-0.0408
1432723_at,4933408K01Rik,0.58610303,-0.0894
1432724_at,4930445G23Rik,0.87054685,-0.036
1432725_at,4930445G23Rik,0.8431271,-0.0234
1432726_at,1700089D09Rik,0.21247677,-0.2904
1432727_at,Psmd11,0.73824319,0.0612
1432728_at,5830433D23Rik,0.80419731,0.0472
1432729_at,5830415G21Rik,0.80113916,-0.0372
1432730_at,5830415G21Rik,0.73332391,0.053
1432731_at,5830437K03Rik,0.88403124,0.0286
1432732_at,5830437K03Rik,0.99936726,0.0002
1432733_at,4933402E15Rik,0.56579196,0.1118
1432734_at,4933402E15Rik,0.3978271,-0.141
1432735_at,Nfatc1,0.82457686,-0.0384
1432736_at,1500001A10Rik,0.97130138,0.0056
1432737_at,2810026P18Rik,0.58285697,-0.0876
1432738_at,2810026P18Rik,0.91878795,0.0184
1432739_at,2900060K15Rik,0.38234187,-0.1544
1432740_at,4833420L08Rik,0.81905983,0.0398
1432741_at,AB112350,0.94787861,-0.0102
1432742_at,9530071P10Rik,0.59717313,0.1222
1432743_at,4930443G03Rik,0.91191612,-0.0216
1432744_at,4930443G03Rik,0.77391453,0.0488
1432745_at,9430092D12Rik,0.66905739,0.0842
1432746_at,Grb14,0.3907484,-0.4362
1432747_at,4933403J19Rik,0.79891531,0.0546
1432748_at,4933403J19Rik,0.49097301,-0.1236
1432749_at,Cryga,0.43234522,-0.1096
1432750_at,Zfp711,0.57998966,0.1116
1432751_at,4930403O18Rik,0.62451271,-0.0958
1432752_at,4930403O18Rik,0.90610494,0.0264
1432753_at,9130214F15Rik,0.53215898,-0.1272
1432754_at,Ccnc,0.52255481,0.1662
1432755_at,2210409O19Rik,0.54008805,0.0894
1432756_at,2210409O19Rik,0.82984172,-0.0454
1432757_at,2900011L18Rik,0.38446795,-0.22
1432758_at,2900011L18Rik,0.31718525,0.2372
1432759_at,6330571C24Rik,0.75988524,-0.0532
1432760_at,E130112L15Rik,0.75887955,0.077
1432761_at,4930551I15Rik,0.47970837,0.1208
1432762_at,9530025H10Rik,0.97329486,0.0048
1432763_at,Prrg2,0.67654921,-0.0788
1432764_at,4933404I11Rik,0.56398781,0.0874
1432765_at,C030007D22Rik,0.78406149,0.0554
1432766_at,E130112B07Rik,0.73102477,-0.0492
1432767_at,E130112B07Rik,0.85860119,-0.0372
1432768_at,6430710M23Rik,0.94461661,0.0156
1432769_at,Slc44a1,0.9921864,-0.0016
1432770_at,0610040A22Rik,0.34393124,-0.1694
1432771_at,0610040A22Rik,0.94740694,-0.0126
1432772_at,1700081H04Rik,0.97480037,0.0058
1432773_at,2610105M22Rik,0.87464785,0.0222
1432774_at,2610105M22Rik,0.99213,-0.0016
1432775_at,Rabgap1l,0.70492508,0.0578
1432776_at,9430087J23Rik,0.62522707,0.076
1432777_at,9430032J07Rik,0.85873362,0.0256
1432778_at,9430032J07Rik,0.67030795,-0.0918
1432779_at,1700037N05Rik,0.84075694,0.0368
1432780_at,Ppm1l,0.41475089,-0.164
1432781_at,Pdzk6,0.22501662,-0.1436
1432782_at,4933435C09Rik,0.38381466,-0.1188
1432783_at,4930556A17Rik,0.67603591,-0.0734
1432784_at,4930556A17Rik,0.98394743,-0.0036
1432785_at,A930028O11Rik,0.96600823,-0.0074
1432786_at,Mib1,0.97676848,-0.0058
1432787_at,6720420G18Rik,0.60452874,0.1478
1432788_at,6720420G18Rik,0.54389515,0.1354
1432789_at,8030476L19Rik,0.68938917,-0.0672
1432790_at,9030218A15Rik,0.70326743,-0.164
1432791_at,Lrba,0.83724679,0.0566
1432792_at,4930401B11Rik,0.83674929,-0.036
1432793_at,4930401B11Rik,0.38872282,-0.137
1432794_at,Diap2,0.6910588,0.1484
1432795_at,2310058F05Rik,0.45827009,0.1404
1432796_at,3110067C02Rik,0.89373278,0.0194
1432797_at,2900060N12Rik,0.43518829,0.145
1432798_at,Slc12a6,0.37710224,-0.154
1432799_at,Cacnb2,0.76286961,0.036
1432800_at,C030011G24Rik,0.65682374,0.0692
1432801_at,Pip5k1a,0.98710475,-0.0028
1432802_at,9230106L01Rik,0.87919825,-0.03
1432803_at,A230101C19Rik,0.6646275,-0.0758
1432804_at,A230101C19Rik,0.68318934,-0.089
1432805_at,8030431A06Rik,0.99907607,0.0002
1432806_at,Lrba,0.25542062,0.2882
1432807_at,Ppm1e,0.62122063,0.1016
1432808_at,5830426K05Rik,0.70637518,0.0844
1432809_at,1700113P08Rik,0.48889126,-0.1142
1432810_at,Wdr35,0.77135442,0.048
1432811_at,9530025L08Rik,0.76696452,-0.0474
1432812_at,4930554P06Rik,0.3177501,-0.1834
1432813_at,Lphn3,0.95770881,-0.0118
1432814_at,Lphn3,0.81523028,-0.0722
1432815_at,4833419A21Rik,0.96335376,0.0064
1432816_s_at,Rbbp6,0.64604948,-0.0804
1432817_x_at,Rbbp6,0.98004181,0.0046
1432818_at,3110038B19Rik,0.099422469,-0.3202
1432819_at,3110038B19Rik,0.95367695,0.0098
1432820_at,Psmd7,0.072044558,-0.213
1432821_at,Nfatc4,0.85368468,-0.0346
1432822_at,4930557B21Rik,0.90056512,0.017
1432823_at,Mg29,0.92837202,-0.0196
1432824_at,2900018N21Rik,0.59819905,-0.0958
1432825_at,Meis1,0.74315279,-0.0572
1432826_a_at,Cd80,0.76193093,-0.0626
1432827_x_at,Ubc,0.42911785,-0.0838
1432828_at,Uxs1,0.61940773,0.1596
1432829_at,EG433182,0.89832581,-0.031
1432830_at,Ccdc138,0.70471295,-0.0636
1432831_at,6230424H07Rik,0.33994693,-0.0968
1432832_at,4933435G04Rik,0.79634153,-0.0384
1432833_at,4933435G04Rik,0.66468683,0.0856
1432834_at,Cpb2,0.77346309,0.0464
1432835_at,Cpb2,0.8568897,0.027
1432836_at,4833410I11Rik,0.80657081,-0.0764
1432837_at,2700080J24Rik,0.85958982,0.034
1432838_at,Ptprd,0.92157787,-0.02
1432839_at,Ptprd,0.11601099,0.4618
1432840_at,Galnt11,0.56697679,-0.0978
1432841_at,E130116L18Rik,0.80380657,0.049
1432842_s_at,Ywhaq,0.75624758,0.0338
1432843_at,5730405O12Rik,0.98037107,0.007
1432844_at,3110001B12Rik,0.82572321,-0.0424
1432845_at,Pex2,0.61269755,-0.0812
1432846_at,5033428C03Rik,0.79216217,0.0494
1432847_at,Samd4,0.92716359,0.0146
1432848_a_at,FKSG44,0.35751493,0.1834
1432849_at,1200004M23Rik,0.95246207,-0.0078
1432850_at,Rnf19,0.7750139,-0.0612
1432851_at,Phactr1,0.90340877,-0.0244
1432852_at,Phactr1,0.62445653,-0.0966
1432853_at,2900057C01Rik,0.84431831,0.0362
1432854_at,1700018P08Rik,0.83193849,0.045
1432855_at,Kctd3,0.81779387,-0.0388
1432856_at,4930438A20Rik,0.86869319,-0.0246
1432857_at,6430500D05Rik,0.62003468,0.0752
1432858_at,D730048M19Rik,0.2591351,-0.2134
1432859_at,D730048M19Rik,0.54272467,0.123
1432860_at,Panx3,0.38880801,-0.107
1432861_at,2900046F13Rik,0.57773154,0.1554
1432862_at,Nkx2-4,0.69919063,-0.0752
1432863_a_at,Nkx2-4,0.81721124,-0.0374
1432864_at,Thrap3,0.94035301,-0.014
1432865_at,D730050C22Rik,0.99567514,0.0008
1432866_at,Rbbp5,0.86455302,0.0328
1432867_at,9230112J17Rik,0.57237613,-0.0948
1432868_at,C330027C09Rik,0.8222463,-0.0344
1432869_at,4932432N04Rik,0.72167445,-0.058
1432870_at,4932429P19Rik,0.65187738,-0.1202
1432871_at,4932429P19Rik,0.97735039,-0.0052
1432872_at,1110007M04Rik,0.49913935,-0.1268
1432873_at,4932702M13Rik,0.50883147,0.1104
1432874_at,4632404M16Rik,0.80253837,-0.0404
1432875_at,4632409D06Rik,0.50455495,-0.1128
1432876_at,Tor2a,0.46690725,-0.1322
1432877_at,4930544N03Rik,0.74187192,0.0596
1432878_at,4930544N03Rik,0.84468616,0.0366
1432879_at,6820402A03Rik,0.88409403,0.0238
1432880_at,Kansl1l,0.92746825,0.0164
1432881_at,4932437C15Rik,0.58517467,-0.1286
1432882_at,0710005M24Rik,0.81281537,0.0828
1432883_at,4932431P20Rik,0.92455568,0.0218
1432884_at,2010003H20Rik,0.90722509,-0.0192
1432885_at,Slc38a1,0.30579107,0.2938
1432886_at,5730488B01Rik,0.93704321,-0.0126
1432887_at,Zfp942,0.63213105,0.0776
1432888_at,4930455M05Rik,0.93577513,-0.016
1432889_at,4930466I24Rik,0.94794553,-0.0102
1432890_at,2610011E03Rik,0.81692404,0.0324
1432891_at,5730564L20Rik,0.85479123,-0.032
1432892_at,Dhrs7,0.90908768,0.0164
1432893_at,9130011L11Rik,0.69878916,-0.0736
1432894_at,9130011L11Rik,0.70348267,0.0726
1432895_at,9030409K20Rik,0.92411645,-0.0198
1432896_at,9030409K20Rik,0.67604361,-0.069
1432897_at,4930435N07Rik,0.87978164,-0.0356
1432898_at,4930544L18Rik,0.69836758,-0.0472
1432899_at,4833408G04Rik,0.90525982,-0.0272
1432900_at,6620402G01Rik,0.87418016,0.0232
1432901_at,6620402G01Rik,0.52805567,0.1538
1432902_at,9130414P19Rik,0.94119878,0.0112
1432903_at,4933406F09Rik,0.61946401,0.131
1432904_at,3110037C07Rik,0.93564514,-0.0192
1432905_at,3110037C07Rik,0.72104786,0.0672
1432906_at,1700126A01Rik,0.79323143,0.049
1432907_at,1700126A01Rik,0.86262795,-0.024
1432908_at,2810410P21Rik,0.56380909,-0.11
1432909_at,4933424H11Rik,0.45898336,-0.114
1432910_at,Btbd7,0.40110929,0.1522
1432911_at,AU018122,0.86774912,-0.0332
1432912_at,5730575I04Rik,0.87045274,0.0306
1432913_at,4930413P14Rik,0.64116918,-0.068
1432914_at,4930413P14Rik,0.75146975,0.048
1432915_at,5730407I07Rik,0.94997911,-0.0134
1432916_at,5730407I07Rik,0.5088427,0.1578
1432917_at,Cnga1,0.93653517,-0.0158
1432918_at,4921511E18Rik,0.61761407,-0.0854
1432919_at,4921511E18Rik,0.72649923,-0.0424
1432920_at,5330421C15Rik,0.52457077,-0.1406
1432921_at,4933416E14Rik,0.50252065,-0.0904
1432922_at,4933416E14Rik,0.40593518,-0.1448
1432923_at,2810404I24Rik,0.98341665,-0.0044
1432924_at,D19Ertd386e,0.92482551,0.024
1432925_at,4933416A02Rik,0.7421949,0.0486
1432926_at,2900069M18Rik,0.90984272,0.015
1432927_at,Usp37,0.97027748,-0.0056
1432928_at,Plcd4,0.91240245,0.0164
1432929_at,9930109F21,0.9315942,0.0154
1432930_at,4921501E01Rik,0.48402438,-0.101
1432931_at,Nrxn3,0.68179465,0.0706
1432932_at,Nrxn3,0.58337435,-0.0902
1432933_at,4930429N05Rik,0.55198697,-0.1036
1432934_at,4930429N05Rik,0.71816433,-0.082
1432935_at,5330433J24Rik,0.90774571,-0.0212
1432936_at,Trps1,0.59640175,-0.1034
1432937_at,5430439C14Rik,0.79304799,-0.0462
1432938_at,Exoc4,0.37229184,0.1858
1432939_at,5730405N03Rik,0.78846909,0.0358
1432940_at,Gpc6,0.41872533,-0.108
1432941_at,5730408A14Rik,0.91274695,0.0214
1432942_at,Rgs7,0.40712026,0.1878
1432943_at,2900046L07Rik,0.72712184,-0.083
1432944_at,Golsyn,0.79855655,0.049
1432945_at,5230400M06Rik,0.83295624,-0.0386
1432946_at,5230400M06Rik,0.94199091,0.0114
1432947_at,4921519G19Rik,0.78196332,-0.082
1432948_at,4921519G19Rik,0.95162678,-0.01
1432949_at,5330421F21Rik,0.99698281,0.0006
1432950_at,Slc24a2,0.60592027,0.2724
1432951_at,4930448E22Rik,0.89547137,-0.0208
1432952_at,4930448E22Rik,0.80576396,-0.0426
1432953_at,Etsrp71,0.98118525,0.006
1432954_at,4921520E09Rik,0.80621981,-0.0394
1432955_at,4930444K16Rik,0.78144261,0.0484
1432956_at,4930444K16Rik,0.97720064,-0.0054
1432957_at,5730407O05Rik,0.65020954,-0.0724
1432958_at,5730407O05Rik,0.82827978,0.0502
1432959_at,4930447I22Rik,0.59646205,-0.0824
1432960_at,Ier2,0.65757087,-0.0858
1432961_at,2610024D14Rik,0.98543578,-0.0022
1432962_at,2610024D14Rik,0.7627599,0.054
1432963_at,2410049M19Rik,0.58640023,-0.0908
1432964_at,2410049M19Rik,0.58828456,0.0944
1432965_at,4921507H08Rik,0.65007899,-0.0774
1432966_at,4921507H08Rik,0.86228358,-0.0284
1432967_at,Atxn2l,0.86098824,0.0386
1432968_at,4930456A14Rik,0.58936137,-0.1174
1432969_at,Rab11fip5,0.85118106,0.0346
1432970_at,4933423K11Rik,0.99396995,0.0016
1432971_at,4921518B13Rik,0.76379468,-0.0502
1432972_at,Ttc12,0.90211018,-0.0208
1432973_at,4933421H12Rik,0.66969177,-0.0862
1432974_at,4933421H12Rik,0.58572543,-0.0804
1432975_at,2310038E17Rik,0.55185724,-0.1026
1432976_at,2310038E17Rik,0.66348165,0.0836
1432977_at,9030607L02Rik,0.66310063,-0.0838
1432978_at,1110059E24Rik,0.76064016,0.062
1432979_at,C430014D17Rik,0.88043171,-0.02
1432980_at,Dock4,0.69169115,0.0832
1432981_at,Map3k9,0.81998258,0.0416
1432982_at,BC030335,0.54820872,0.1224
1432983_at,Mtap7,0.47185875,-0.1524
1432984_at,1700026H06Rik,0.99772189,0.0004
1432985_at,5430402M21Rik,0.79488391,-0.0558
1432986_at,Zc3h4,0.86674402,-0.0394
1432987_at,4930538D17Rik,0.57463988,0.145
1432988_at,2610040L17Rik,0.32894891,-0.1686
1432989_at,2900011F02Rik,0.84577783,0.0432
1432990_at,4933435A13Rik,0.95660475,-0.0112
1432991_at,4930519E07Rik,0.94636383,-0.0146
1432992_at,4930403L11Rik,0.90720443,0.018
1432993_at,4930403L11Rik,0.94590235,-0.0112
1432994_at,A830080D01Rik,0.9572083,-0.0096
1432995_at,2900057E15Rik,0.32434477,-0.1388
1432996_at,5830462P14Rik,0.781379,0.0488
1432997_at,Ptk2b,0.93345424,-0.012
1432998_at,Cbl,0.77897488,0.0396
1432999_at,6330414F14Rik,0.33426366,-0.1072
1433000_at,Axud1,0.56361512,-0.1108
1433001_at,1700019L13Rik,0.83166233,0.0336
1433002_at,9030613N10Rik,0.96944324,-0.0074
1433003_at,4933423N03Rik,0.94351577,0.0152
1433004_at,4833446E11Rik,0.77641182,-0.0618
1433005_at,4833446E11Rik,0.73570936,-0.0532
1433006_at,5430430B14Rik,0.61073895,-0.082
1433007_at,5430430B14Rik,0.38211861,-0.1478
1433008_at,6330526H18Rik,0.78997947,-0.0526
1433009_at,9030607J07Rik,0.69470889,-0.072
1433010_at,Sntb1,0.72814409,-0.065
1433011_at,4921506L19Rik,0.80664086,-0.0446
1433012_at,4930485G23Rik,0.45653392,-0.1428
1433013_at,4930485G23Rik,0.83052524,-0.0488
1433014_at,6330436F06Rik,0.5740567,0.196
1433015_at,Kcnd2,0.93568058,-0.019
1433016_s_at,4933412F11Rik,0.9672806,0.0056
1433017_at,8430420C20Rik,0.52556436,-0.1528
1433018_at,4930560O18Rik,0.7119307,-0.078
1433019_at,Zbtb36,0.56483067,-0.0844
1433020_at,5830413G11Rik,0.5621835,0.0882
1433021_at,5830413G11Rik,0.99497893,-0.001
1433022_at,2310068G24Rik,0.43934549,0.1302
1433023_at,Slc8a3,0.54525502,-0.1054
1433024_at,4930421C12Rik,0.66665656,0.0984
1433025_x_at,Bnip2,0.96048666,-0.007
1433026_at,Cacna2d1,0.70498879,-0.066
1433027_at,5830485P09Rik,0.86585927,-0.028
1433028_at,4833411I10Rik,0.65024797,-0.1
1433029_at,Kcnj9,0.88992299,-0.0202
1433030_at,5730406E14Rik,0.34367664,-0.179
1433031_at,2900064K03Rik,0.80711752,-0.0372
1433032_at,2900064K03Rik,0.9686038,-0.0184
1433033_at,2310007H11Rik,0.78072887,-0.0558
1433034_at,LOC433501,0.88523485,0.0188
1433035_at,5430430K15Rik,0.8849807,-0.027
1433036_at,4930564B12Rik,0.98659125,0.003
1433037_at,5830434F19Rik,0.88980978,-0.0262
1433038_at,4930555B11Rik,0.96912944,-0.0064
1433039_at,4930555B11Rik,0.4002683,-0.185
1433040_at,Anks1b,0.17291946,0.7798
1433041_at,8430412M01Rik,0.83268678,-0.0346
1433042_at,4930572C08Rik,0.9062153,0.024
1433043_at,Vcan,0.76022185,-0.0512
1433044_at,Vcan,0.91295291,-0.0164
1433045_at,4930535F04Rik,0.64272845,-0.0602
1433046_at,4930535F04Rik,0.83630124,-0.0452
1433047_at,5330430B06Rik,0.97386837,0.0082
1433048_at,4933428L01Rik,0.67314639,-0.0826
1433049_at,AK017704,0.97333674,-0.0068
1433050_at,Dcc,0.28228049,-0.919
1433051_at,2610011I18Rik,0.62793501,0.096
1433052_at,Elavl2,0.53392744,-0.1088
1433053_at,Itgb2l,0.84546567,-0.0368
1433054_at,5033406G21Rik,0.75007078,-0.0596
1433055_at,4931407J08Rik,0.78924718,0.059
1433056_at,Fgf12,0.51749217,0.0968
1433057_at,Cadm2,0.89156368,-0.0216
1433058_at,4933411O13Rik,0.88178402,-0.024
1433059_at,4930439G18Rik,0.78700944,-0.0422
1433060_at,6230426I18Rik,0.77951716,-0.0946
1433061_at,4933423L19Rik,0.92931228,0.0164
1433062_at,4930415N18Rik,0.95223408,-0.012
1433063_at,4930415N18Rik,0.97908735,-0.004
1433064_at,Cach,0.83788019,0.0438
1433065_at,Kcnd2,0.98624671,0.003
1433066_at,Kcnd2,0.40531165,0.3912
1433067_at,6330582A15Rik,0.8679759,-0.0308
1433068_at,D030011O10Rik,0.25233637,-0.271
1433069_at,5730433N10Rik,0.81801236,-0.0702
1433070_at,5830433M15Rik,0.7369881,0.0598
1433071_at,6430605C03Rik,0.73021895,-0.065
1433072_at,4933425E08Rik,0.76909381,-0.0512
1433073_at,Gstt2,0.55928517,-0.1476
1433074_at,Dlg2,0.61472974,0.0952
1433075_at,4931412I15Rik,0.84440067,-0.0368
1433076_at,Cycs,0.51347839,-0.072
1433077_at,Enah,0.87955657,-0.026
1433078_at,5830435N06Rik,0.54698159,-0.1018
1433079_at,AK017091,0.70286008,-0.087
1433080_at,4933436P19Rik,0.71677015,-0.0648
1433081_at,4933407I18Rik,0.99335157,-0.0014
1433082_at,AK015422,0.33915474,0.191
1433083_at,4930448K20Rik,0.32414599,-0.1698
1433084_at,4930402C16Rik,0.89099915,0.0398
1433085_at,Fbn2,0.69091046,-0.0932
1433086_at,Fbn2,0.70420118,-0.0778
1433087_at,5330430C04Rik,0.92383973,0.0164
1433088_at,Celf4,0.83098425,-0.0532
1433089_at,4930404F17Rik,0.86991781,0.0328
1433090_at,6430514K02Rik,0.94589619,0.0106
1433091_at,6430514K02Rik,0.99841002,-0.0006
1433092_at,3110062G12Rik,0.7532488,0.06
1433093_at,2900092N22Rik,0.97546736,-0.0044
1433094_at,Slc1a2,0.8572282,0.0392
1433095_at,Slc1a2,0.82101093,-0.0462
1433096_at,4930473M17Rik,0.92616709,0.0138
1433097_at,4930473M17Rik,0.6499014,0.0674
1433098_at,Nsmce1,0.54360204,-0.1108
1433099_at,4933428L12Rik,0.97458104,0.0058
1433100_at,9030419F21Rik,0.86389519,0.0262
1433101_at,Trabd,0.56670092,-0.0922
1433102_at,1810044A24Rik,0.69072015,0.0612
1433103_at,Ddx25,0.90729561,-0.0194
1433104_at,Pus3,0.69867913,-0.0912
1433105_at,5830438M01Rik,0.81186492,0.046
1433106_at,5830438M01Rik,0.77808386,-0.0802
1433107_at,Tcrb-J,0.66703089,-0.0652
1433108_at,Tcrb-J,0.28265716,-0.1236
1433109_at,AK015344,0.97392982,0.0038
1433110_at,Kcnq5,0.93359282,0.0574
1433111_at,Nhsl1,0.6409925,-0.0902
1433112_at,4933424L07Rik,0.78950713,-0.0642
1433113_at,1110063F24Rik,0.58963191,0.116
1433114_at,4921504P20Rik,0.75503439,0.0452
1433115_at,5730552O08Rik,0.98922877,0.0022
1433116_at,5730552O08Rik,0.62940886,0.0712
1433117_at,2300004M11Rik,0.96298916,-0.0092
1433118_at,Ncoa2,0.73698811,-0.0624
1433119_at,4930456G14Rik,0.63338218,-0.0846
1433120_at,9530002O20Rik,0.65903956,-0.0864
1433121_at,Catna3,0.82668369,-0.0652
1433122_at,2900069G24Rik,0.70542065,-0.071
1433123_at,Cnih3,0.56464355,-0.1008
1433124_at,4930534I15Rik,0.50354821,-0.1248
1433125_at,5330422M15Rik,0.86868495,-0.0264
1433126_at,Rnf20,0.92314835,-0.0174
1433127_at,4930513L20Rik,0.84233954,-0.0472
1433128_at,4930423C22Rik,0.65146353,-0.0908
1433129_at,Gm672,0.10725339,-0.2164
1433130_at,8430418B16Rik,0.91320053,0.0142
1433131_at,5033425B01Rik,0.94730374,-0.0136
1433132_at,Edaradd,0.904528,0.0198
1433133_at,Edaradd,0.95310562,-0.0156
1433134_at,5830448L01Rik,0.80548652,-0.0342
1433135_at,4930428L02Rik,0.97529116,0.0062
1433136_at,4930432H08Rik,0.54724392,-0.1136
1433137_at,Dlgap1,0.27903522,0.2178
1433138_at,5230401M06Rik,0.42623485,-0.1152
1433139_at,Nacc1,0.43930156,-0.108
1433140_a_at,Nacc1,0.89922868,0.032
1433141_at,4921504P05Rik,0.87456391,-0.025
1433142_at,4921504P05Rik,0.80876343,0.0486
1433143_at,Ptpre,0.79805487,0.038
1433144_at,Alg2,0.80112816,-0.0458
1433145_at,4933431C10Rik,0.6216251,-0.1008
1433146_at,Cald1,0.76402492,-0.0572
1433147_at,Cald1,0.99163458,-0.002
1433148_at,Tacc2,0.66009589,-0.083
1433149_at,4930513N20Rik,0.93421178,0.015
1433150_at,4933415B22Rik,0.67726075,-0.0682
1433151_at,Hps4,0.91607304,0.0162
1433152_at,2900022B07Rik,0.77733295,0.0462
1433153_at,9030201C23Rik,0.75312325,-0.0386
1433154_at,B230204H03Rik,0.8356191,0.0402
1433155_at,B230204H03Rik,0.18349228,0.4404
1433156_at,Kcnip1,0.72688806,-0.0924
1433157_at,Lass2,0.58646256,-0.0838
1433158_at,5330429L19Rik,0.95527303,-0.0098
1433159_at,5330429L19Rik,0.29313608,0.4238
1433160_at,1700008N17Rik,0.67226508,0.088
1433161_at,1700008N17Rik,0.41349356,-0.154
1433162_at,Plek,0.86446079,0.0304
1433163_at,6230414M07Rik,0.85384802,0.0268
1433164_at,4930570E01Rik,0.78872133,0.03
1433165_at,4930570E01Rik,0.90366964,0.026
1433166_at,4930485E13Rik,0.70150485,0.0594
1433167_at,4930444E06Rik,0.69320076,-0.0528
1433168_x_at,Itga2,0.75515238,-0.0734
1433169_at,Inpp4b,0.35867277,-0.2786
1433170_at,2900034C19Rik,0.68406391,-0.095
1433171_at,3110049I03Rik,0.51323811,0.1344
1433172_at,3110049I03Rik,0.98435065,-0.0102
1433173_at,5430440L12Rik,0.99283078,0.0018
1433174_a_at,Rbm4,0.49044321,-0.1282
1433175_at,4930563F15Rik,0.52215997,-0.112
1433176_at,4930563F15Rik,0.93761716,0.0138
1433177_at,Avl9,0.94536733,-0.0274
1433178_at,Avl9,0.74026245,0.0574
1433179_at,Rer1,0.77144153,-0.0376
1433180_at,4930417P05Rik,0.24038824,-0.2148
1433181_at,4930431N21Rik,0.60464126,0.0936
1433182_at,1110007F12Rik,0.79279075,0.0588
1433183_at,6720477C19Rik,0.3858435,0.1526
1433184_at,Cacna1c,0.84123418,0.061
1433185_at,E130112C09Rik,0.33301219,0.2194
1433186_at,Lyk5,0.90941315,-0.021
1433187_at,B230112I24Rik,0.38266765,-0.1524
1433188_at,Cntnap2,0.63368685,-0.2434
1433189_at,4933433N18Rik,0.99316934,0.0014
1433190_at,4933433N18Rik,0.9738833,0.004
1433191_at,A430105P17Rik,0.47785779,-0.1434
1433192_at,A430105P17Rik,0.078313821,0.3518
1433193_at,4930433M22Rik,0.80010847,0.0566
1433194_at,4930433M22Rik,0.88739273,-0.0234
1433195_at,9530006O14Rik,0.98854256,-0.0024
1433196_at,0610010I15Rik,0.53137244,-0.1238
1433197_at,4930445B03Rik,0.99849698,-0.0004
1433198_at,4930445B03Rik,0.4892936,-0.1164
1433199_at,B230114A03Rik,0.68441746,0.1148
1433200_at,B230114A03Rik,0.94121537,0.0144
1433201_at,2310079F09Rik,0.73681763,0.064
1433202_at,6030400A10Rik,0.44628997,0.129
1433203_at,Cpeb2,0.91001347,0.0422
1433204_at,Ndfip2,0.55443369,-0.0806
1433205_at,Ndfip2,0.34795198,-0.3804
1433206_at,5033430J17Rik,0.97772743,-0.0054
1433207_at,5033430J17Rik,0.94765713,-0.014
1433208_at,2210017G18Rik,0.63109576,0.1194
1433209_at,Ppp1r9a,0.90482523,-0.0266
1433210_at,Rptn,0.78043414,0.0404
1433211_at,Rptn,0.61956492,-0.098
1433212_at,Rb1,0.31940122,-0.3506
1433213_at,2700008E08Rik,0.98408889,0.0026
1433214_x_at,2700008E08Rik,0.88480945,-0.0228
1433215_at,9430024C03Rik,0.39733501,-0.1196
1433216_at,9430024C03Rik,0.39791644,0.1584
1433217_at,4930566N20Rik,0.80145591,-0.0456
1433218_at,4930566N20Rik,0.49985723,0.0988
1433219_at,D3Ucla1,0.84204472,-0.045
1433220_at,D3Ertd194e,0.88859686,-0.0486
1433221_at,2610311E24Rik,0.55594691,-0.0902
1433222_at,2610311E24Rik,0.89058721,-0.0304
1433223_at,5830442K09Rik,0.26155895,-0.1802
1433224_at,5830442K09Rik,0.53215007,0.1396
1433225_at,Prc1,0.79936941,0.0432
1433226_at,6330403N20Rik,0.77832835,-0.0614
1433227_at,9430081G06Rik,0.9480704,0.0106
1433228_at,9430081G06Rik,0.85914661,-0.036
1433229_at,Pgcp,0.92894742,0.0162
1433230_at,5730415C11Rik,0.7022505,0.0866
1433231_at,4933426I03Rik,0.78806662,-0.036
1433232_at,4933426I03Rik,0.87834105,0.0284
1433233_at,5430425E15Rik,0.92022521,0.0168
1433234_at,4930424E08Rik,0.54860064,-0.1282
1433235_at,C030011I16Rik,0.63218833,0.0868
1433236_at,3830422I06Rik,0.9385756,-0.0176
1433237_at,3830422I06Rik,0.8316957,-0.04
1433238_at,4930448E06Rik,0.9271841,0.0228
1433239_at,4930448E06Rik,0.94721709,0.0102
1433240_at,9430013L17Rik,0.77933376,-0.0638
1433241_at,0610042C05Rik,0.79036317,-0.0558
1433242_at,Atf7ip,0.67252445,-0.1576
1433243_at,1200015N20Rik,0.51644371,-0.1152
1433244_at,Ust,0.63736387,-0.0994
1433245_at,6720475M21Rik,0.79390238,0.043
1433246_at,6720475M21Rik,0.30481517,0.1774
1433247_at,Stx12,0.9867996,0.0028
1433248_at,2310075M01Rik,0.64302302,0.1094
1433249_at,4931409D07Rik,0.64854464,-0.1094
1433250_at,4931409D07Rik,0.87954378,-0.026
1433251_at,Hspca,0.84828927,-0.0224
