target,gene,p-value,parental difference (B6-DBA)
1416072_at,Cd34,0.81563063,-0.054
1416073_a_at,Nup85,0.50500527,-0.0704
1416074_a_at,Rpl28,0.46099162,-0.157
1416075_at,Sav1,0.65868861,0.0512
1416076_at,Ccnb1,0.9203076,0.0374
1416077_at,Adm,0.36487458,-0.16
1416078_s_at,Raf1,0.54623386,-0.0784
1416079_a_at,Arpc1a,0.75515583,0.0382
1416080_at,Adam15,0.89682011,-0.0304
1416081_at,Smad1,0.39006659,0.181
1416082_at,Rab1,0.87172449,0.026
1416083_at,Zfand5,0.98958495,0.0016
1416084_at,Zfand5,0.68110977,0.0962
1416085_s_at,Zfand5,0.58011401,0.1134
1416086_at,Tpst2,0.18700878,-0.2118
1416087_at,Ap1s1,0.56892793,-0.08
1416088_a_at,Rps15,0.083050067,-0.248
1416089_at,Rps15,0.146783,-0.1342
1416090_at,Pdhb,0.48476754,-0.0966
1416091_at,Mtap4,0.68327319,0.1092
1416092_a_at,Mtap4,0.53091043,0.151
1416093_a_at,Mrpl20,0.77254916,-0.0454
1416094_at,Adam9,0.67335579,0.0528
1416095_x_at,Cip29,0.81834043,-0.0302
1416096_at,AI413782,0.95827941,0.0084
1416097_at,Lrrc4,0.20307209,0.2944
1416098_at,Syngr3,0.24416779,-0.1848
1416099_at,Rpl27,0.41218161,-0.0802
1416100_at,Eif3s7,0.56050464,-0.06
1416101_a_at,Hist1h1c,0.41238498,0.312
1416102_at,Ywhaz,0.38981641,0.1472
1416103_at,Ywhaz,0.97651596,-0.004
1416104_at,Mpdu1,0.68408217,-0.0644
1416105_at,Nnt,0.40075884,-0.3468
1416106_at,1110001A12Rik,0.71101471,0.06
1416107_at,Hmp19,0.78400574,0.0256
1416108_a_at,Tmed3,0.81157235,-0.0378
1416109_at,Fuca1,0.743493,0.0422
1416110_at,Slc35a4,0.5479199,-0.0838
1416111_at,Cd83,0.74467499,-0.0744
1416112_at,Cox8a,0.94186531,0.0098
1416113_at,Fkbp8,0.74584355,-0.0664
1416114_at,Sparcl1,0.67511053,0.0736
1416115_at,Orc3l,0.78436271,0.0502
1416116_at,Orc3l,0.35783696,-0.2622
1416117_at,Orc3l,0.59996198,-0.0772
1416118_at,Trim59,0.2255449,0.6142
1416119_at,Txn1,0.22476128,-0.1728
1416120_at,Rrm2,0.76429201,0.12
1416121_at,Lox,0.54099253,-0.1146
1416122_at,Ccnd2,0.53608463,0.3532
1416123_at,Ccnd2,0.086386083,1.0536
1416124_at,Ccnd2,0.41223631,0.4292
1416125_at,Fkbp5,0.91876083,0.019
1416126_at,Polr1b,0.72730777,0.066
1416127_a_at,Dnpep,0.73244459,0.1032
1416128_at,Tuba6,0.53837197,-0.139
1416129_at,Errfi1,0.73981935,-0.0568
1416130_at,Prnp,0.60278122,-0.0818
1416131_s_at,Efr3a,0.42240598,0.2638
1416132_at,Efr3a,0.3297158,0.3642
1416133_at,Efr3a,0.51274682,0.2174
1416134_at,Aplp1,0.783403,0.0868
1416135_at,Apex1,0.021136061,-0.374
1416136_at,Mmp2,0.70589923,-0.0988
1416137_at,Anxa7,0.82728298,-0.027
1416138_at,Anxa7,0.89570234,0.021
1416139_at,Reg2,0.88368281,0.0236
1416140_a_at,Dhx30,0.70646669,-0.0706
1416141_a_at,Rps6,0.68880685,-0.043
1416142_at,Rps6,0.27678054,0.8208
1416143_at,Atp5j,0.95742822,-0.0054
1416144_a_at,Dhx15,0.76104754,0.0554
1416145_at,Dhx15,0.46108429,0.0682
1416146_at,Hspa4,0.8586891,-0.0326
1416147_at,Hspa4,0.78943543,0.1404
1416148_at,Laptm4b,0.75224251,0.0292
1416149_at,Olig1,0.45587482,0.1376
1416150_a_at,Sfrs3,0.93378336,0.0162
1416151_at,Sfrs3,0.95133756,-0.0118
1416152_a_at,Sfrs3,0.693076,0.07
1416153_at,Srp54,0.2349745,0.4774
1416154_at,Srp54,0.99683687,0.0008
1416155_at,Hmgb3,0.60531317,-0.0908
1416156_at,Vcl,0.55797573,-0.1356
1416157_at,Vcl,0.9468591,-0.02
1416158_at,Nr2f2,0.58320074,0.1604
1416159_at,Nr2f2,0.79856539,-0.0526
1416160_at,Nr2f2,0.65124229,0.0888
1416161_at,Rad21,0.95912277,0.0056
1416162_at,Rad21,0.4758369,0.1308
1416163_at,Cops4,0.66421897,-0.0626
1416164_at,Fbln5,0.90567451,0.0298
1416165_at,Rab31,0.6050898,0.073
1416166_a_at,Prdx4,0.63253026,-0.1256
1416167_at,Prdx4,0.62451638,-0.0878
1416168_at,Serpinf1,0.26304284,-0.3038
1416169_at,Tpbpb,0.7511637,0.0592
1416170_at,Trap1,0.23150957,-0.1494
1416171_at,C12orf41,0.77903644,0.0268
1416172_at,Pes1,0.56373771,-0.0846
1416173_at,Pes1,0.79305855,0.0416
1416174_at,Rbbp9,0.30032966,0.197
1416175_a_at,Vdac3,0.45756662,-0.0978
1416176_at,Hmgb1,0.76500564,0.052
1416177_at,Rbmxrt,0.94806226,0.01
1416178_a_at,Plekhb1,0.97146672,-0.0116
1416179_a_at,Rdx,0.72130312,-0.0892
1416180_a_at,Rdx,0.55569734,0.1696
1416181_at,Mesdc2,0.54761405,-0.0728
1416182_at,Apba3,0.73755326,-0.0818
1416183_a_at,Ldhb,0.98363583,-0.0026
1416184_s_at,Hmga1,0.8996,0.0318
1416185_a_at,Adh5,0.65879219,-0.0726
1416186_at,Pnrc2,0.22448555,0.2368
1416187_s_at,Pnrc2,0.50973135,0.1468
1416188_at,Gm2a,0.60994118,0.0588
1416189_a_at,Sec61a1,0.3759902,-0.1176
1416190_a_at,Sec61a1,0.52012007,0.147
1416191_at,Sec61a1,0.60038243,0.107
1416192_at,Napa,0.34283225,-0.3284
